Username/ID,Revisions,Visit,Flag,KT,CD,Score-HOTS,Score-LOTS,Time-HOTS,Time-LOTS,Score-HighDiff,Score-LowDiff,Time-HighDiff,Time-LowDiff,Cheater
Student1,0,6.733333333,0,0.432692308,0.008824396,3,2,490,595,2,3,673,412,0
Student2,5,3,0,0.382779501,0.000233213,3,4,319,589,2,5,649,259,0
Student3,2,3.4,0,0.535891302,0.015365862,2,3,502,645,1,4,942,205,0
Student4,0,6.6,0,0.306223601,0.006856086,2,3,336,726,1,4,708,354,0
Student5,2,5.666666667,2,0.086538462,0.022389608,1,5,460,846,3,3,592,714,0
Student6,2,3.6,1,0.336538462,0.019134222,2,4,530,747,2,4,768,509,0
Student7,0,1,0,0.625,0.021666961,1,4,324,263,1,4,355,232,0
Student8,0,2.066666667,1,0.548076923,0.005304948,2,4,535,574,3,3,763,346,0
Student9,1,7.066666667,0,0.375,0.000719561,3,8,467,568,5,6,481,554,0
Student10,0,2.666666667,1,0.478474376,0.00068007,3,5,320,588,3,5,711,197,0
Student11,1,4.866666667,1,0.367154043,0.003115419,3,4,391,728,3,4,653,466,1
Student12,2,2.733333333,1,0.490384615,7.52E-05,4,5,540,454,4,5,725,269,0
Student13,2,7.333333333,0,0.336538462,0.000568477,1,5,327,534,3,3,638,223,0
Student14,0,10.33333333,0,0.057416925,0.006913555,3,6,300,508,3,6,502,306,0
Student15,0,2,1,0.394230769,0.000748089,5,1,319,533,4,2,642,210,0
Student16,1,4.666666667,0,0.125,9.37E-05,1,4,387,484,1,4,479,392,0
Student17,2,3.066666667,0,0.689352878,0.022262444,1,1,568,393,1,1,562,399,0
Student18,1,3.4,0,0.555030277,0.008456026,3,6,273,513,5,4,576,210,0
Student19,0,4.933333333,0,0.436913796,0.003432444,2,3,291,479,2,3,513,257,0
Student20,3,3.6,0,0.32040345,0.000270965,3,2,367,490,2,3,548,309,0
Student21,1,4.466666667,1,0.229667701,0.026610027,1,3,485,644,2,2,682,447,0
Student22,5,2.266666667,0,0.637688601,0.001518709,3,4,552,517,4,3,637,432,0
Student23,0,15.73333333,0,0.459335401,0.013959097,2,3,441,694,2,3,723,412,0
Student24,0,3.733333333,0,-0.048076923,0.000115281,4,4,291,662,3,5,591,362,0
Student25,3,2,0,0.421057451,0.012848888,2,6,310,342,2,6,440,212,0
Student26,4,3.866666667,1,0.478474376,0.010674966,2,5,503,757,2,5,844,416,0
Student27,3,4.466666667,0,0.509615385,0.000791165,3,5,482,585,4,4,734,333,0
Student28,3,3,1,0.471153846,0.002180388,1,2,492,399,1,2,613,278,0
Student29,1,5.266666667,0,0.298076923,0.003341523,5,5,475,456,5,5,528,403,1
Student30,0,7.266666667,2,0.201923077,0.010690524,2,8,624,630,5,5,885,369,1
Student31,0,2,0,0.298076923,0.07221833,4,8,287,473,6,6,409,351,1
Student32,3,9.066666667,1,0.325362576,0.018180923,4,6,237,1080,5,5,594,723,1
Student33,0,1.533333333,0,0.223311496,0.014983597,2,5,219,371,2,5,306,284,0
Student34,0,1,0,0.317307692,0.007433119,0,6,319,382,3,3,422,279,1
Student35,1,4.466666667,0,0.663461538,0.00455514,2,5,340,413,3,4,505,248,1
Student36,0,1.2,0,0.154591176,0.036765798,3,2,199,296,2,3,301,194,0
Student37,0,4.066666667,1,0.096619485,0.01069984,2,7,417,857,4,5,939,335,1
Student38,4,3.933333333,2,0.555030277,0.008886,2,6,574,687,4,4,698,563,1
Student39,1,6.8,0,0.298076923,0.017166872,4,7,391,477,6,5,635,233,0
Student40,1,3.133333333,1,0.382779501,0.027648477,3,7,719,661,4,6,838,542,1
Student41,1,6.466666667,3,0.278846154,0.039488892,2,8,489,956,6,4,1097,348,1
Student42,0,1.266666667,1,0.413461538,0.000333387,2,4,359,610,3,3,539,430,1
Student43,0,11.26666667,2,0.182692308,0.014442098,2,6,598,739,4,4,739,598,1
Student44,6,4,0,0.593308227,0.024614283,3,9,455,858,6,6,831,482,1
Student45,0,1,0,0.432692308,0.028187004,5,2,214,241,3,4,329,126,0
Student46,4,3.8,3,0.535891302,0.045663562,3,7,849,626,5,5,959,516,0
Student47,0,3.266666667,0,0.363640526,0.006584636,2,7,226,587,4,5,501,312,1
Student48,1,14.46666667,4,-0.248806676,0.012242822,1,8,228,1064,4,5,716,576,1
Student49,1,1.533333333,0,0.401918476,0.009510268,1,5,340,332,3,3,439,233,0
Student50,5,5,1,0.325362576,0.042912107,3,8,509,901,5,6,955,455,1
Student51,5,8.066666667,0,0.586538462,0.000794655,3,4,508,529,4,3,610,427,0
Student52,0,1,0,0.425125734,0.04216519,1,3,254,267,1,3,408,113,0
Student53,0,8.533333333,3,0.067964368,0.013608,1,8,539,768,5,4,803,504,1
Student54,1,2.666666667,1,0.574169252,0.015838713,3,3,393,852,2,4,977,268,0
Student55,0,2,0,0.585428544,0.033735779,2,4,150,301,2,4,341,110,0
Student56,0,8.933333333,0,-0.303696858,0.1171067,4,5,116,45,4,5,121,40,0
Student57,3,4.4,0,0.028846154,0.008630021,1,7,248,464,3,5,313,399,1
Student58,1,2.2,0,0.1531118,0.026517935,3,8,382,435,5,6,411,406,1
Student59,0,4.066666667,1,0.133972825,0.012957454,1,3,251,421,2,2,401,271,1
Student60,2,6.4,1,0.229667701,0.035894831,4,8,405,458,6,6,457,406,0
