Username/ID,Question,BT level,Question-Visit-Timestamp,Response-Submit-Timestamp,Response,Time,Score,Tab Switch
Student1,1,LOTS,"[""24-03-2022 05:33:30"", ""24-03-2022 05:35:20"", ""24-03-2022 05:36:22"", ""24-03-2022 05:39:59"", ""24-03-2022 05:44:01"", ""24-03-2022 05:44:25"", ""24-03-2022 05:45:30"", ""24-03-2022 05:46:07""]","[[""option_1"", ""24-03-2022 05:33:40""], [""option_1"", ""24-03-2022 05:45:32""]]",option_1,29,1,0
Student1,2,LOTS,"[""24-03-2022 05:33:17"", ""24-03-2022 05:35:21"", ""24-03-2022 05:36:22"", ""24-03-2022 05:39:25"", ""24-03-2022 05:43:38"", ""24-03-2022 05:44:25"", ""24-03-2022 05:45:26"", ""24-03-2022 05:45:50"", ""24-03-2022 05:45:58"", ""24-03-2022 05:48:57""]","[[""option_3"", ""24-03-2022 05:49:01""]]",option_3,50,0,0
Student1,3,LOTS,"[""24-03-2022 05:33:02"", ""24-03-2022 05:35:21"", ""24-03-2022 05:36:22"", ""24-03-2022 05:38:09"", ""24-03-2022 05:43:09"", ""24-03-2022 05:44:26"", ""24-03-2022 05:45:02""]","[[""option_3"", ""24-03-2022 05:45:08""]]",option_3,35,0,0
Student1,4,LOTS,"[""24-03-2022 05:33:24"", ""24-03-2022 05:36:22"", ""24-03-2022 05:39:45"", ""24-03-2022 05:43:48"", ""24-03-2022 05:44:25"", ""24-03-2022 05:45:26"", ""24-03-2022 05:46:06"", ""24-03-2022 05:49:01""]","[[""option_2"", ""24-03-2022 05:45:30""]]",option_2,38,1,0
Student1,5,LOTS,"[""24-03-2022 05:32:56"", ""24-03-2022 05:35:22"", ""24-03-2022 05:35:46"", ""24-03-2022 05:37:30"", ""24-03-2022 05:43:08"", ""24-03-2022 05:44:26"", ""24-03-2022 05:44:55""]","[[""option_1"", ""24-03-2022 05:45:02""]]",option_1,85,1,0
Student1,6,LOTS,"[""24-03-2022 05:32:31"", ""24-03-2022 05:32:37"", ""24-03-2022 05:35:22"", ""24-03-2022 05:35:25"", ""24-03-2022 05:36:37"", ""24-03-2022 05:37:28"", ""24-03-2022 05:43:07"", ""24-03-2022 05:44:27"", ""24-03-2022 05:44:38"", ""24-03-2022 05:49:11""]","[[""option_1"", ""24-03-2022 05:44:55""]]",option_1,67,0,0
Student1,7,LOTS,"[""24-03-2022 05:30:23"", ""24-03-2022 05:32:34"", ""24-03-2022 05:35:22"", ""24-03-2022 05:36:39"", ""24-03-2022 05:36:59"", ""24-03-2022 05:42:34"", ""24-03-2022 05:44:27"", ""24-03-2022 05:45:48"", ""24-03-2022 05:49:06""]","[[""option_3"", ""24-03-2022 05:44:38""], [""option_3"", ""24-03-2022 05:49:11""]]",option_3,217,1,0
Student1,8,LOTS,"[""24-03-2022 05:34:06"", ""24-03-2022 05:35:20"", ""24-03-2022 05:36:22"", ""24-03-2022 05:36:43"", ""24-03-2022 05:42:08"", ""24-03-2022 05:47:37""]","[[""option_1"", ""24-03-2022 05:34:24""], [""option_1"", ""24-03-2022 05:47:40""]]",option_1,47,1,0
Student1,9,LOTS,"[""24-03-2022 05:33:07"", ""24-03-2022 05:35:22"", ""24-03-2022 05:36:22"", ""24-03-2022 05:39:07"", ""24-03-2022 05:43:15"", ""24-03-2022 05:44:26"", ""24-03-2022 05:45:10"", ""24-03-2022 05:45:17"", ""24-03-2022 05:45:52""]","[[""option_1"", ""24-03-2022 05:45:26""], [""option_1"", ""24-03-2022 05:45:57""]]",option_1,65,1,0
Student1,10,LOTS,"[""24-03-2022 05:33:07"", ""24-03-2022 05:35:24"", ""24-03-2022 05:36:22"", ""24-03-2022 05:38:32"", ""24-03-2022 05:43:11"", ""24-03-2022 05:44:26"", ""24-03-2022 05:45:08"", ""24-03-2022 05:45:13""]","[[""option_3"", ""24-03-2022 05:45:11""], [""option_3"", ""24-03-2022 05:45:17""]]",option_3,44,1,0
Student1,11,HOTS,"[""24-03-2022 05:34:24"", ""24-03-2022 05:35:19"", ""24-03-2022 05:36:33"", ""24-03-2022 05:42:15"", ""24-03-2022 05:47:40""]","[[""option_4"", ""24-03-2022 05:48:24""]]",option_4,70,0,0
Student1,12,HOTS,"[""24-03-2022 05:34:03"", ""24-03-2022 05:35:20"", ""24-03-2022 05:36:22"", ""24-03-2022 05:36:53"", ""24-03-2022 05:42:04"", ""24-03-2022 05:46:33"", ""24-03-2022 05:49:18""]","[[""option_3"", ""24-03-2022 05:47:37""]]",option_3,80,0,0
Student1,13,HOTS,"[""24-03-2022 05:33:56"", ""24-03-2022 05:35:20"", ""24-03-2022 05:36:22"", ""24-03-2022 05:42:01"", ""24-03-2022 05:44:15"", ""24-03-2022 05:46:23"", ""24-03-2022 05:49:15""]","[[""option_3"", ""24-03-2022 05:49:18""]]",option_3,31,1,0
Student1,14,HOTS,"[""24-03-2022 05:34:33"", ""24-03-2022 05:42:30"", ""24-03-2022 05:48:24"", ""24-03-2022 05:49:21""]","[[""option_3"", ""24-03-2022 05:49:24""], [""option_3"", ""24-03-2022 05:49:25""]]",option_3,95,1,0
Student1,15,HOTS,"[""24-03-2022 05:33:40"", ""24-03-2022 05:36:22"", ""24-03-2022 05:40:10"", ""24-03-2022 05:44:07"", ""24-03-2022 05:44:25"", ""24-03-2022 05:45:32"", ""24-03-2022 05:46:10""]","[[""option_3"", ""24-03-2022 05:33:56""]]",option_3,161,1,0
Student2,1,LOTS,"[""24-03-2022 05:33:52""]","[[""option_1"", ""24-03-2022 05:34:07""]]",option_1,14,1,0
Student2,2,LOTS,"[""24-03-2022 05:38:26""]","[[""option_2"", ""24-03-2022 05:38:36""]]",option_2,10,1,0
Student2,3,LOTS,"[""24-03-2022 05:33:17""]","[[""option_3"", ""24-03-2022 05:33:52""]]",option_3,35,0,0
